,data,text,stats,links,sentiment
0,https://twitter.com/Shaniqwa_karis/status/1587373268259971074#m,"#Ad Leo pia nimepeana Mali, watu wanashinda tu this was amazing 😂😂😂 #shikishaformnasenator #PaidPartnershipWithEABL","Nov 1, 2022 · 9:17 AM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 1}",Positive
1,https://twitter.com/NShirandula/status/1587116257416986625#m,#AD #Shikishaformnasenator #Paidpartnershipwithdiago #PaidPartnershipWithEABL  Have you had your #SenatorDrink today? #Senator,"Oct 31, 2022 · 4:16 PM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",Neutral
2,https://twitter.com/JoeKiusya1/status/1587099122296840193#m,"#Ad #PaidPartnershipWithEabl ile kupigwa tulipigwa janaa sisi kama Chelsea Wueh!!! ... Bora kujishikia Senator Keg Nishinde million 2, Home upgrade, airtime ama Shopping Voucher   #ShikishaFormNaSenator #DrinkBetterNotMore Not for sell to Under 18 yrs","Oct 31, 2022 · 3:08 PM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",Neutral
3,https://twitter.com/Shaniqwa_karis/status/1586996036161228803#m,#Ad MALIPO ni hapa hapa DUNIANI😂😂 @njoroshirandula @anitasanturi #Shikishaformnasenator #paidpartnershipwitheabl,"Oct 31, 2022 · 8:18 AM UTC","{'comments': 0, 'retweets': 1, 'quotes': 0, 'likes': 1}",Neutral
4,https://twitter.com/anitasanturi/status/1586082800683614208#m,#ad Cheers to good time and memories with senator keg.... #shikishaformnasenator #drinkbetternotmore,"Oct 28, 2022 · 7:49 PM UTC","{'comments': 2, 'retweets': 1, 'quotes': 0, 'likes': 12}",Positive
5,https://twitter.com/NShirandula/status/1585746759598284800#m,#AD #Shikishaformnasenator #Paidpartnershipwithdiago #PaidPartnershipWithEABL,"Oct 27, 2022 · 9:34 PM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 1}",Neutral
6,https://twitter.com/Shaniqwa_karis/status/1585632791726739457#m,"#Ad Siku hizi kama huna pesa huna chako😂, usiaibike #Shikishaformnasenator ukuwe millionaire #Paidpartnershipwitheabl","Oct 27, 2022 · 2:01 PM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",Neutral
7,https://twitter.com/NShirandula/status/1584966952161751042#m,#AD #Shikishaformnasenator #Paidpartnershipwithdiago #PaidPartnershipWithEABL @Shaniqwa_karis #DoubleBlack vs #Regular equals #Senator,"Oct 25, 2022 · 5:55 PM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 1}",Neutral
8,https://twitter.com/JoeKiusya1/status/1584918920632336384#m,#Ad  Mara ya Mwisho kuitiwa Form ilikua lini? #PaidPartnershipWithEabl  Mugz zako Mbili tu za  SENATOR Keg unapata chance ya kujishindia tele tele.... 1. 2M 2. Home Upgrade 3. Airtime 4. Shopping Voucher  #ShikishaFormNaSenator #DrinkBetterNotMore,"Oct 25, 2022 · 2:44 PM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",Positive
9,https://twitter.com/Shaniqwa_karis/status/1584872551104536577#m,#Ad umewai ota ukikojoa na ukaamini what happened?? Same thing different situation😂😂 #Paidpartnershipwitheabl #Shikishaformnasenator,"Oct 25, 2022 · 11:40 AM UTC","{'comments': 0, 'retweets': 1, 'quotes': 0, 'likes': 1}",Neutral
